"","freq","prev","p.freq","p.prev","p","contaminant"
"ASV_1",0.0876775734731927,188,NA,0.469239115458804,0.469239115458804,FALSE
"ASV_2",0.0588102324701801,185,NA,0.447015362358777,0.447015362358777,FALSE
"ASV_3",0.0329412864879045,187,NA,0.960941805593827,0.960941805593827,FALSE
"ASV_4",0.0553648156664397,151,NA,0.242178888812345,0.242178888812345,FALSE
"ASV_5",0.0210871956196828,140,NA,0.603265362358777,0.603265362358777,FALSE
"ASV_6",0.034622425694058,159,NA,0.283032085285203,0.283032085285203,FALSE
"ASV_7",0.0287504767289512,139,NA,0.89735722650868,0.89735722650868,FALSE
"ASV_8",0.0298793039924945,192,NA,0.5,0.5,FALSE
"ASV_9",0.0147977312115942,170,NA,0.346359189859465,0.346359189859465,FALSE
"ASV_10",0.00519946778158885,84,NA,0.912098718655277,0.912098718655277,FALSE
"ASV_11",0.0115929708774792,160,NA,0.288440341691926,0.288440341691926,FALSE
"ASV_12",0.0121116590754148,176,NA,0.87524111325434,0.87524111325434,FALSE
"ASV_13",0.0044643127393707,146,NA,0.647160891430146,0.647160891430146,FALSE
"ASV_14",0.0142166632597673,191,NA,0.4921875,0.4921875,FALSE
"ASV_15",0.01128226302538,104,NA,0.734093414163681,0.734093414163681,FALSE
"ASV_16",0.00714554078981717,123,NA,0.830641189032791,0.830641189032791,FALSE
"ASV_17",0.012001995003926,188,NA,0.469239115458804,0.469239115458804,FALSE
"ASV_18",0.0108655488443224,188,NA,0.469239115458804,0.469239115458804,FALSE
"ASV_19",0.00824890081038213,101,NA,0.717309778864701,0.717309778864701,FALSE
"ASV_21",0.0110037082507185,149,NA,0.669376033342519,0.669376033342519,FALSE
"ASV_22",0.00175932718905544,22,NA,0.171211938550565,0.171211938550565,FALSE
"ASV_23",0.00536595672053867,132,NA,0.869936621658859,0.869936621658859,FALSE
"ASV_24",0.00218641236342205,44,NA,0.338047671534858,0.338047671534858,FALSE
"ASV_25",0.00745099657231344,126,NA,0.980297602645357,0.980297602645357,FALSE
"ASV_26",0.00863114757688715,189,NA,0.476807488288785,0.476807488288785,FALSE
"ASV_27",0.00761709003983723,129,NA,0.982902056351612,0.982902056351612,FALSE
