"","freq","prev","p.freq","p.prev","p","contaminant"
"ASV_1",0.090543636233554,182,NA,0.4,0.4,FALSE
"ASV_2",0.0605388140707877,179,NA,0.4,0.4,FALSE
"ASV_3",0.0338069038444476,182,NA,0.452380952380952,0.452380952380952,FALSE
"ASV_4",0.0570111073336558,146,NA,0.208333333333333,0.208333333333333,FALSE
"ASV_5",0.0217054886240537,135,NA,0.166666666666667,0.166666666666667,FALSE
"ASV_6",0.0357699244743395,154,NA,0.333333333333333,0.333333333333333,FALSE
"ASV_7",0.0297149558079655,138,NA,0.375,0.375,FALSE
"ASV_8",0.0293229617290556,186,NA,0.5,0.5,FALSE
"ASV_9",0.0148664732874295,164,NA,0.30952380952381,0.30952380952381,FALSE
"ASV_10",0.0053709474807746,83,NA,0.0476190476190476,0.0476190476190476,TRUE
"ASV_11",0.0118986767878299,155,NA,0.274193548387097,0.274193548387097,FALSE
"ASV_12",0.0124697668053502,171,NA,0.387096774193548,0.387096774193548,FALSE
"ASV_13",0.00458760894532988,142,NA,0.261904761904762,0.261904761904762,FALSE
"ASV_14",0.0142625351690225,185,NA,0.5,0.5,FALSE
"ASV_15",0.0117103997367142,101,NA,0.1875,0.1875,FALSE
"ASV_16",0.00737200495982807,118,NA,0.274193548387097,0.274193548387097,FALSE
"ASV_17",0.0115213375975359,182,NA,0.458333333333333,0.458333333333333,FALSE
"ASV_18",0.0106602654238447,182,NA,0.458333333333333,0.458333333333333,FALSE
"ASV_19",0.00848167250367845,98,NA,0.404761904761905,0.404761904761905,FALSE
"ASV_21",0.0113515435532745,145,NA,0.333333333333333,0.333333333333333,FALSE
"ASV_22",0.00176200780621975,20,NA,0.612903225806452,0.612903225806452,FALSE
"ASV_23",0.00554800169549826,131,NA,0.161290322580645,0.161290322580645,FALSE
"ASV_24",0.00226153534482493,42,NA,0.125,0.125,FALSE
"ASV_25",0.00770973432226703,125,NA,0.404761904761905,0.404761904761905,FALSE
"ASV_26",0.00847876714694649,183,NA,0.5,0.5,FALSE
"ASV_27",0.00761263206225756,125,NA,0.166666666666667,0.166666666666667,FALSE
"ASV_28",0.00761593318968844,185,NA,0.458333333333333,0.458333333333333,FALSE
"ASV_29",0.00691339169531899,109,NA,0.119047619047619,0.119047619047619,FALSE
"ASV_30",0.0069012273786279,83,NA,0.0476190476190476,0.0476190476190476,TRUE
"ASV_31",0.00106928263938807,63,NA,0.222222222222222,0.222222222222222,FALSE
"ASV_32",0.00566425732210968,134,NA,0.241935483870968,0.241935483870968,FALSE
"ASV_33",0.00845959184842811,104,NA,0.125,0.125,FALSE
"ASV_34",0.00323850357918696,41,NA,0.111111111111111,0.111111111111111,FALSE
"ASV_35",0.00472968744077897,88,NA,0.0833333333333333,0.0833333333333333,TRUE
"ASV_36",0.00477453062989929,86,NA,0.291666666666667,0.291666666666667,FALSE
"ASV_37",0.00659095105928633,123,NA,0.190476190476191,0.190476190476191,FALSE
"ASV_38",0.00417852925424243,122,NA,0.064516129032258,0.064516129032258,TRUE
"ASV_39",0.00244528746692451,65,NA,0.0806451612903226,0.0806451612903226,TRUE
"ASV_40",0.00619804766810552,94,NA,0.208333333333333,0.208333333333333,FALSE
"ASV_41",0.0045665980763743,136,NA,0.261904761904762,0.261904761904762,FALSE
"ASV_42",0.00268984107580953,133,NA,0.161290322580645,0.161290322580645,FALSE
"ASV_43",0.00533967514335118,176,NA,0.416666666666667,0.416666666666667,FALSE
"ASV_44",0.00527774979268624,178,NA,0.458333333333333,0.458333333333333,FALSE
"ASV_45",0.00474824947765282,179,NA,0.5,0.5,FALSE
"ASV_46",0.0039048134732105,99,NA,0.2,0.2,FALSE
